               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.055145,            0.044279,            0.007453,             0.70406,             0.69387,             0.74404,             0.33332,            0.052927,            0.039141,           0.0049591,            0.006964,            0.006964,            0.006964
                  48,            0.054707,            0.044056,           0.0071298,             0.78027,             0.70767,             0.76222,             0.33008,            0.051811,            0.039316,           0.0053364,            0.006898,            0.006898,            0.006898
                  49,            0.053241,            0.044129,           0.0070675,              0.7569,             0.71638,             0.75732,             0.33882,             0.05108,            0.045434,           0.0056257,            0.006832,            0.006832,            0.006832
                  50,            0.053575,            0.045568,            0.006581,             0.75204,             0.71231,              0.7376,             0.33407,            0.052997,            0.039063,           0.0051063,            0.006766,            0.006766,            0.006766
                  51,            0.053369,             0.04422,              0.0065,             0.72138,             0.69045,             0.73912,             0.34883,            0.050792,            0.038656,            0.005339,              0.0067,              0.0067,              0.0067
                  52,             0.05181,            0.043308,           0.0065982,             0.78927,             0.70933,             0.77069,             0.33262,            0.054294,             0.03998,           0.0051518,            0.006634,            0.006634,            0.006634
                  53,            0.053907,              0.0459,           0.0066804,             0.80042,             0.71559,             0.77818,             0.34979,            0.050534,            0.039932,           0.0051382,            0.006568,            0.006568,            0.006568
                  54,             0.05298,            0.045836,             0.00575,             0.84074,             0.68094,             0.76208,             0.36693,            0.047304,            0.037729,           0.0048005,            0.006502,            0.006502,            0.006502
                  55,            0.051772,            0.041556,           0.0061757,             0.77371,             0.70209,             0.75857,             0.34158,            0.048317,            0.036986,           0.0041644,            0.006436,            0.006436,            0.006436
                  56,            0.051848,            0.043526,           0.0057553,             0.79809,             0.73129,             0.78061,             0.38312,            0.046957,            0.037024,           0.0053299,             0.00637,             0.00637,             0.00637
                  57,            0.051751,            0.043642,           0.0055656,             0.82656,             0.72843,             0.78889,             0.36961,            0.047999,            0.036904,           0.0044907,            0.006304,            0.006304,            0.006304
                  58,            0.052261,            0.043013,           0.0053369,             0.83167,             0.71146,             0.77628,             0.32481,            0.046295,            0.038254,           0.0037333,            0.006238,            0.006238,            0.006238
                  59,            0.051302,            0.041985,           0.0051215,              0.7466,             0.76533,             0.79881,             0.37777,            0.048044,            0.037818,           0.0041544,            0.006172,            0.006172,            0.006172
                  60,            0.050472,             0.04277,           0.0056833,             0.81542,             0.72842,             0.78464,             0.37435,            0.046819,            0.037072,           0.0043261,            0.006106,            0.006106,            0.006106
                  61,            0.050832,            0.041813,           0.0048993,             0.82641,             0.74335,              0.7988,             0.40482,            0.046061,            0.036392,           0.0039597,             0.00604,             0.00604,             0.00604
                  62,            0.049956,            0.043948,           0.0046829,             0.81843,             0.78329,             0.80833,             0.38503,             0.04504,            0.037468,           0.0042574,            0.005974,            0.005974,            0.005974
                  63,            0.049951,            0.040992,           0.0051992,             0.76399,             0.78251,             0.80286,             0.37187,            0.049037,            0.038682,           0.0054347,            0.005908,            0.005908,            0.005908
                  64,            0.049632,            0.042236,           0.0046663,             0.84308,               0.726,             0.80525,             0.37666,            0.046173,            0.037161,           0.0037417,            0.005842,            0.005842,            0.005842
                  65,            0.048198,            0.039568,           0.0047079,             0.89218,             0.76965,             0.83463,             0.39493,            0.048212,            0.038134,           0.0035011,            0.005776,            0.005776,            0.005776
                  66,            0.049752,            0.040549,           0.0047289,             0.80133,             0.76243,             0.80846,              0.3954,            0.045996,            0.038114,           0.0035236,             0.00571,             0.00571,             0.00571
                  67,            0.048917,            0.041132,           0.0047979,             0.76946,             0.70184,             0.73959,             0.34582,            0.049633,            0.040353,            0.005488,            0.005644,            0.005644,            0.005644
                  68,            0.047699,            0.041912,           0.0046797,             0.79319,             0.74334,             0.79437,             0.37581,            0.045917,            0.038158,           0.0035016,            0.005578,            0.005578,            0.005578
                  69,            0.048758,             0.04076,           0.0046329,             0.81293,             0.65135,             0.74553,             0.33667,            0.055652,            0.051566,           0.0074177,            0.005512,            0.005512,            0.005512
                  70,            0.048594,             0.04153,           0.0049114,             0.81204,             0.72527,             0.78444,              0.3735,            0.045494,            0.038114,           0.0040539,            0.005446,            0.005446,            0.005446
                  71,               0.048,            0.040973,           0.0045195,             0.84663,             0.71596,              0.7986,             0.39285,            0.045165,             0.03854,           0.0041539,             0.00538,             0.00538,             0.00538
                  72,            0.048659,            0.038991,           0.0040421,             0.82967,             0.79453,             0.83778,             0.40503,              0.0462,            0.038048,           0.0033975,            0.005314,            0.005314,            0.005314
                  73,            0.047193,            0.042408,           0.0043906,             0.79636,             0.79908,             0.84057,             0.42797,            0.043545,            0.035767,           0.0031105,            0.005248,            0.005248,            0.005248
                  74,            0.048703,            0.039292,           0.0041255,             0.78317,             0.75703,             0.78132,             0.38198,            0.046646,            0.036592,           0.0053429,            0.005182,            0.005182,            0.005182
                  75,            0.046757,            0.039248,           0.0037475,             0.79971,             0.76933,              0.8142,             0.40107,            0.045269,            0.036131,           0.0040276,            0.005116,            0.005116,            0.005116
                  76,            0.045982,            0.038512,           0.0042144,             0.86025,             0.78382,             0.84487,             0.41956,            0.044625,            0.035923,           0.0032849,             0.00505,             0.00505,             0.00505
                  77,            0.046841,            0.037316,           0.0039279,             0.88382,             0.79306,             0.84777,             0.43254,            0.043804,            0.036751,           0.0030104,            0.004984,            0.004984,            0.004984
                  78,              0.0462,            0.038436,            0.003984,             0.80356,             0.78628,             0.82258,             0.40679,            0.043556,            0.035939,           0.0033726,            0.004918,            0.004918,            0.004918
                  79,            0.045535,             0.04024,            0.003829,             0.86687,             0.79786,             0.86176,             0.44735,            0.042129,            0.034967,           0.0029395,            0.004852,            0.004852,            0.004852
                  80,            0.046183,            0.040156,           0.0033605,             0.84969,             0.79728,             0.84769,             0.42558,            0.044084,            0.035549,           0.0033026,            0.004786,            0.004786,            0.004786
                  81,             0.04513,            0.040088,            0.003341,             0.87493,             0.78827,             0.86003,             0.45715,            0.042154,             0.03518,           0.0031161,             0.00472,             0.00472,             0.00472
                  82,            0.045464,            0.039812,            0.003411,             0.85361,             0.77998,             0.82442,             0.40836,            0.051674,            0.037961,           0.0037398,            0.004654,            0.004654,            0.004654
                  83,            0.045637,            0.039552,           0.0033726,             0.79145,             0.79944,             0.82785,             0.43343,            0.043759,            0.037871,           0.0046536,            0.004588,            0.004588,            0.004588
                  84,            0.045587,            0.040585,           0.0033431,             0.84791,             0.78854,             0.84408,             0.44481,            0.043445,            0.036601,           0.0037203,            0.004522,            0.004522,            0.004522
                  85,            0.043331,            0.037679,           0.0031305,             0.83809,             0.81396,               0.851,             0.42287,            0.045599,             0.03609,           0.0034982,            0.004456,            0.004456,            0.004456
                  86,            0.045265,            0.038736,           0.0033496,             0.83461,             0.80574,             0.85109,             0.43221,            0.044236,            0.036025,           0.0029629,             0.00439,             0.00439,             0.00439
                  87,            0.045311,            0.039117,           0.0030113,             0.84494,             0.81169,             0.85072,             0.42486,            0.046378,            0.036108,           0.0028209,            0.004324,            0.004324,            0.004324
                  88,            0.044703,            0.037722,           0.0031247,             0.87688,             0.80947,             0.87092,             0.45866,            0.044346,             0.03495,           0.0033149,            0.004258,            0.004258,            0.004258
                  89,            0.042962,             0.03664,           0.0029879,             0.88391,             0.81757,              0.8772,             0.44209,            0.042912,            0.035614,           0.0035035,            0.004192,            0.004192,            0.004192
                  90,            0.044234,            0.037937,           0.0026442,             0.90145,             0.79376,             0.87901,              0.4489,            0.042517,            0.034392,            0.003425,            0.004126,            0.004126,            0.004126
                  91,            0.043953,            0.039423,           0.0027173,              0.8696,             0.77852,             0.85454,             0.43691,            0.043794,            0.036047,           0.0036751,             0.00406,             0.00406,             0.00406
                  92,            0.043413,            0.039021,           0.0027943,             0.86002,             0.79827,             0.86258,             0.45923,            0.042215,            0.034237,           0.0031178,            0.003994,            0.003994,            0.003994
                  93,            0.043719,            0.039202,            0.002599,             0.89047,             0.79726,             0.87269,             0.46482,            0.042502,            0.035348,           0.0026658,            0.003928,            0.003928,            0.003928
                  94,            0.042906,            0.038321,           0.0028312,             0.89373,             0.80806,             0.87592,             0.46046,            0.041539,            0.035208,           0.0026563,            0.003862,            0.003862,            0.003862
                  95,             0.04258,            0.037674,           0.0027557,             0.86486,             0.82672,             0.87197,             0.45032,            0.042461,            0.034726,           0.0025937,            0.003796,            0.003796,            0.003796
                  96,            0.043511,            0.039125,           0.0025949,             0.83878,             0.83016,             0.86387,             0.44603,            0.043347,            0.034764,           0.0027894,             0.00373,             0.00373,             0.00373
                  97,            0.042203,            0.037189,           0.0025694,             0.86684,             0.80633,               0.866,             0.44223,            0.042099,            0.034242,           0.0027779,            0.003664,            0.003664,            0.003664
                  98,            0.042552,            0.037122,            0.002422,             0.88382,             0.82225,             0.87907,             0.47139,            0.041384,            0.033968,           0.0032842,            0.003598,            0.003598,            0.003598
                  99,            0.042665,            0.037369,           0.0026167,             0.89821,             0.80029,             0.86727,             0.45422,            0.042423,            0.035146,           0.0036411,            0.003532,            0.003532,            0.003532
                 100,            0.042562,            0.037398,           0.0025073,             0.85422,             0.82285,             0.86612,             0.46756,            0.041675,            0.034062,           0.0027308,            0.003466,            0.003466,            0.003466
                 101,            0.041155,            0.035733,           0.0026153,             0.83694,              0.8348,             0.86596,             0.45947,            0.041614,            0.033523,            0.002745,              0.0034,              0.0034,              0.0034
                 102,            0.042664,            0.037126,           0.0024259,             0.89738,             0.80876,             0.86899,             0.46131,            0.042179,              0.0342,           0.0035942,            0.003334,            0.003334,            0.003334
                 103,             0.04236,            0.038547,           0.0024849,             0.87714,             0.82434,             0.86683,             0.44932,            0.042378,            0.035278,            0.003843,            0.003268,            0.003268,            0.003268
                 104,             0.04173,            0.036895,           0.0023065,             0.87795,             0.83708,              0.8758,             0.45317,            0.042075,            0.034029,           0.0030719,            0.003202,            0.003202,            0.003202
                 105,            0.041375,            0.035671,           0.0026132,             0.88677,             0.80342,             0.85368,             0.44701,            0.043253,            0.035007,            0.002787,            0.003136,            0.003136,            0.003136
                 106,            0.040214,            0.034167,           0.0022268,             0.91765,             0.80604,             0.88454,             0.48059,            0.041809,            0.034792,           0.0028403,             0.00307,             0.00307,             0.00307
