               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.049628,            0.042377,           0.0053731,             0.86868,             0.75965,             0.83356,             0.41449,            0.047712,            0.035657,           0.0032679,            0.004258,            0.004258,            0.004258
                  89,            0.048255,            0.041133,           0.0051581,             0.87348,              0.7602,              0.8381,             0.41576,            0.046588,            0.036825,           0.0034526,            0.004192,            0.004192,            0.004192
                  90,            0.048675,            0.042561,           0.0045384,             0.82394,             0.76714,             0.80834,             0.39756,            0.046729,            0.035824,           0.0031746,            0.004126,            0.004126,            0.004126
                  91,            0.048432,            0.043903,           0.0046575,             0.81614,             0.75096,             0.79533,              0.3707,            0.048306,            0.036135,           0.0034659,             0.00406,             0.00406,             0.00406
                  92,            0.048166,            0.043195,            0.004548,             0.81811,             0.79591,             0.84962,              0.4282,            0.046197,             0.03614,           0.0031678,            0.003994,            0.003994,            0.003994
                  93,            0.047821,            0.043666,           0.0043083,             0.86907,             0.75603,             0.84788,             0.41977,            0.045475,            0.036568,           0.0030191,            0.003928,            0.003928,            0.003928
                  94,            0.047214,            0.043124,           0.0048017,             0.82515,             0.78594,             0.83521,             0.40293,            0.046253,            0.036396,           0.0027312,            0.003862,            0.003862,            0.003862
                  95,            0.047096,            0.042327,           0.0047388,             0.83049,             0.78233,              0.8309,              0.4061,            0.046727,            0.036616,           0.0030296,            0.003796,            0.003796,            0.003796
                  96,            0.048401,            0.043986,            0.004577,             0.82019,             0.79539,             0.83934,             0.42645,            0.045978,            0.036187,           0.0030836,             0.00373,             0.00373,             0.00373
                  97,            0.047039,            0.042036,           0.0042926,             0.84738,             0.77105,             0.82649,             0.39614,            0.046495,            0.036769,           0.0031884,            0.003664,            0.003664,            0.003664
                  98,            0.047218,            0.041849,           0.0046895,             0.83005,              0.7954,             0.83571,             0.41709,            0.046446,             0.03613,           0.0036529,            0.003598,            0.003598,            0.003598
                  99,            0.046868,            0.042031,           0.0049456,              0.7892,             0.77489,             0.82054,             0.40586,            0.045611,            0.036042,           0.0030433,            0.003532,            0.003532,            0.003532
                 100,            0.046899,            0.041719,           0.0043308,             0.85023,             0.77367,             0.84662,             0.42103,             0.04525,            0.035332,           0.0027302,            0.003466,            0.003466,            0.003466
                 101,            0.046001,            0.040595,           0.0039376,             0.86429,             0.78888,             0.84383,             0.41892,            0.045338,            0.035457,           0.0029306,              0.0034,              0.0034,              0.0034
                 102,             0.04719,            0.041665,           0.0038716,             0.85275,             0.77848,             0.83435,             0.41659,            0.045852,            0.035797,           0.0031315,            0.003334,            0.003334,            0.003334
                 103,            0.047316,            0.043305,           0.0039952,             0.88154,             0.79749,             0.85384,             0.41884,            0.045575,            0.036065,           0.0028197,            0.003268,            0.003268,            0.003268
                 104,            0.046491,            0.040954,           0.0038067,             0.85201,             0.79562,             0.85413,             0.42563,            0.045009,            0.034644,           0.0027719,            0.003202,            0.003202,            0.003202
                 105,             0.04619,            0.040352,           0.0042933,             0.82467,             0.79045,             0.82927,             0.41462,            0.045225,            0.035882,            0.002854,            0.003136,            0.003136,            0.003136
                 106,            0.045082,            0.038678,           0.0039839,             0.82015,             0.80146,             0.84228,             0.43674,            0.045066,            0.034583,            0.002367,             0.00307,             0.00307,             0.00307
                 107,             0.04542,            0.041915,           0.0039602,             0.82004,             0.80568,             0.83641,              0.4369,            0.045544,            0.035793,            0.002775,            0.003004,            0.003004,            0.003004
                 108,            0.045088,            0.039121,            0.004021,             0.84826,             0.81247,              0.8365,             0.41292,            0.045792,            0.035024,           0.0027598,            0.002938,            0.002938,            0.002938
                 109,            0.045878,            0.039763,            0.003839,             0.87012,             0.77236,             0.84383,             0.41625,             0.04596,            0.035982,           0.0027961,            0.002872,            0.002872,            0.002872
