               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.046084,            0.040362,           0.0033609,             0.82071,             0.78933,             0.82014,             0.42969,            0.045463,            0.035917,           0.0027939,            0.002146,            0.002146,            0.002146
                 121,            0.045891,            0.039681,           0.0037815,             0.82399,             0.78286,             0.82892,             0.42538,            0.046092,            0.036196,           0.0029362,             0.00208,             0.00208,             0.00208
                 122,             0.04585,             0.04004,           0.0035171,             0.82757,             0.79385,             0.83798,             0.44273,             0.04461,            0.036091,           0.0024601,            0.002014,            0.002014,            0.002014
                 123,            0.045759,            0.040822,           0.0034162,             0.79724,             0.81473,             0.84175,              0.4246,            0.045408,            0.036981,           0.0033031,            0.001948,            0.001948,            0.001948
                 124,            0.045041,            0.040473,           0.0032851,             0.80623,             0.79526,             0.81833,             0.42547,             0.04531,            0.037233,            0.003473,            0.001882,            0.001882,            0.001882
                 125,            0.046858,            0.042817,           0.0033973,             0.78671,             0.80054,             0.80997,             0.42086,            0.046082,            0.036793,            0.003082,            0.001816,            0.001816,            0.001816
                 126,            0.045294,            0.041145,           0.0032076,             0.81849,             0.80797,              0.8384,              0.4297,            0.044999,            0.036411,           0.0031853,             0.00175,             0.00175,             0.00175
                 127,            0.045077,             0.03893,           0.0041983,             0.83872,              0.8255,             0.84768,             0.44051,            0.044337,            0.036333,            0.003063,            0.001684,            0.001684,            0.001684
                 128,            0.045271,            0.042137,           0.0033507,             0.83659,              0.7899,             0.83865,             0.43561,            0.044394,            0.036401,           0.0031673,            0.001618,            0.001618,            0.001618
                 129,            0.045444,            0.042312,           0.0031982,             0.83783,             0.81309,             0.83746,             0.42555,             0.04502,            0.037242,           0.0032614,            0.001552,            0.001552,            0.001552
                 130,            0.045005,            0.040219,           0.0033438,             0.78486,             0.79387,             0.82583,             0.42714,            0.044128,            0.035902,           0.0026822,            0.001486,            0.001486,            0.001486
                 131,            0.045665,            0.041214,           0.0033241,             0.82433,             0.80378,             0.82833,             0.41475,            0.046536,            0.037573,            0.003191,             0.00142,             0.00142,             0.00142
                 132,            0.044959,            0.040406,           0.0035228,             0.83935,             0.78262,              0.8327,             0.42815,            0.044204,             0.03667,           0.0032193,            0.001354,            0.001354,            0.001354
                 133,            0.044777,             0.03925,           0.0031397,              0.8419,             0.79652,             0.85272,             0.43613,            0.044411,            0.036606,           0.0030791,            0.001288,            0.001288,            0.001288
                 134,            0.044887,            0.041843,           0.0029832,              0.8458,             0.78149,             0.84237,             0.43766,            0.044115,            0.035562,           0.0026648,            0.001222,            0.001222,            0.001222
                 135,            0.045025,            0.039766,           0.0033275,             0.84959,             0.80893,             0.85125,             0.44413,            0.044167,            0.035756,           0.0024405,            0.001156,            0.001156,            0.001156
                 136,            0.044991,            0.040818,           0.0030113,              0.8449,             0.78791,             0.83571,             0.42716,            0.044449,            0.036222,           0.0026691,             0.00109,             0.00109,             0.00109
                 137,            0.044582,            0.039858,           0.0031725,             0.83729,             0.80252,             0.83675,             0.42797,            0.044286,            0.035951,            0.002699,            0.001024,            0.001024,            0.001024
                 138,            0.046269,             0.04389,           0.0027229,             0.82685,             0.81261,             0.85098,             0.44501,            0.043501,             0.03609,           0.0023099,            0.000958,            0.000958,            0.000958
                 139,            0.044224,            0.037152,           0.0032519,             0.80681,             0.81558,             0.84147,             0.44016,            0.043827,            0.035439,           0.0023358,            0.000892,            0.000892,            0.000892
                 140,            0.044153,            0.039361,           0.0027399,             0.85713,             0.80252,             0.85488,             0.44464,            0.044094,            0.035812,           0.0024567,            0.000826,            0.000826,            0.000826
                 141,            0.043271,            0.040089,           0.0027901,             0.83997,             0.81371,             0.85019,             0.44974,            0.043272,            0.035924,           0.0024346,             0.00076,             0.00076,             0.00076
                 142,            0.044727,            0.043667,           0.0028482,              0.8508,             0.79279,             0.84041,             0.43882,            0.044002,             0.03609,           0.0026575,            0.000694,            0.000694,            0.000694
                 143,            0.044101,            0.040188,           0.0029171,             0.85115,             0.81168,             0.85511,             0.44393,            0.043628,            0.035913,           0.0025937,            0.000628,            0.000628,            0.000628
                 144,            0.043513,            0.039221,           0.0027673,              0.8385,             0.80595,             0.84554,             0.45407,            0.043515,            0.035735,           0.0025768,            0.000562,            0.000562,            0.000562
                 145,            0.043201,             0.03975,           0.0030016,             0.85366,             0.82505,             0.86497,             0.46116,            0.043458,            0.035591,           0.0024409,            0.000496,            0.000496,            0.000496
                 146,            0.043546,            0.038241,           0.0027759,             0.82773,             0.81808,             0.84503,             0.44425,             0.04385,            0.035739,           0.0025153,             0.00043,             0.00043,             0.00043
                 147,            0.043496,            0.039004,           0.0029787,             0.85983,             0.83161,             0.86741,              0.4509,            0.043216,            0.035392,           0.0021563,            0.000364,            0.000364,            0.000364
                 148,            0.043112,            0.039908,           0.0026723,              0.8366,             0.82369,             0.85254,             0.44464,            0.043347,            0.035601,              0.0026,            0.000298,            0.000298,            0.000298
                 149,            0.043984,            0.038365,           0.0027021,             0.85124,             0.82813,             0.86497,             0.46103,            0.042874,            0.035374,           0.0023628,            0.000232,            0.000232,            0.000232
